BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
25/4/2026;BELGRANO; $ 12.594.544 ;;;;;;;;;;;;;;
25/4/2026;BELGRANO II; $ 13.189.781 ;;;;;;;;;;;;;;
25/4/2026;BELGRANO III; $ 10.130.810 ;;;;;;;;;;;;;;
25/4/2026;BELGRANO IV; $ 11.206.758 ;;;;;;;;;;;;;;
25/4/2026;BELGRANO V; $ 21.028.695 ;;;;;;;;;;;;;;
25/4/2026;BELGRANO VI; $ 6.232.061 ;;;;;;;;;;;;;;
25/4/2026;BELGRANO VII - Danesa; $ 45.510.438 ;;;;;;;;;;;;;;
25/4/2026;BELGRANO VIII; $ 9.080.115 ;;;;;;;;;;;;;;
25/4/2026;BERAZATEGUI; $ 47.356.645 ;;;;;;;;;;;;;;
25/4/2026;BERAZATEGUI II; $ 16.087.164 ;;;;;;;;;;;;;;
25/4/2026;Boedo; $ 3.973.223 ;;;;;;;;;;;;;;
25/4/2026;CABALLITO; $ 41.669.588 ;;;;;;;;;;;;;;
25/4/2026;CABALLITO II; $ 13.838.003 ;;;;;;;;;;;;;;
25/4/2026;CABALLITO III; $ 16.489.928 ;;;;;;;;;;;;;;
25/4/2026;CABALLITO IV; $ 19.294.791 ;;;;;;;;;;;;;;
25/4/2026;CHACARITA; $ 5.457.814 ;;;;;;;;;;;;;;
25/4/2026;DEVOTO; $ 29.517.199 ;;;;;;;;;;;;;;
25/4/2026;Devoto II; $ 20.646.899 ;;;;;;;;;;;;;;
25/4/2026;Devoto III; $ 2.443.640 ;;;;;;;;;;;;;;
25/4/2026;Escobar; $ 2.840.217 ;;;;;;;;;;;;;;
25/4/2026;FLORES; $ 28.515.541 ;;;;;;;;;;;;;;
25/4/2026;GONZALEZ CATAN; $ 20.898.291 ;;;;;;;;;;;;;;
25/4/2026;GONZALEZ CATAN II; $ 10.590.728 ;;;;;;;;;;;;;;
25/4/2026;GONZALEZ CATAN III; $ 2.429.947 ;;;;;;;;;;;;;;
25/4/2026;ISDIN G. PACIFICO; $ 1.193.322 ;;;;;;;;;;;;;;
25/4/2026;ISDIN PALERMO; $ 1.135.081 ;;;;;;;;;;;;;;
25/4/2026;LAS CANITAS; $ 21.256.995 ;;;;;;;;;;;;;;
25/4/2026;LOREAL ALTO PALERMO; $ 3.550.181 ;;;;;;;;;;;;;;
25/4/2026;LOREAL G. PACIFICO; $ 1.573.695 ;;;;;;;;;;;;;;
25/4/2026;MERCEDES; $ 4.928.201 ;;;;;;;;;;;;;;
25/4/2026;MICROCENTRO; $ 1.552.209 ;;;;;;;;;;;;;;
25/4/2026;MICROCENTRO II; $ 4.042.645 ;;;;;;;;;;;;;;
25/4/2026;MORON; $ 14.111.602 ;;;;;;;;;;;;;;
25/4/2026;NUNEZ; $ 21.153.648 ;;;;;;;;;;;;;;
25/4/2026;PADUA; $ 7.501.976 ;;;;;;;;;;;;;;
25/4/2026;PALERMO; $ 8.282.184 ;;;;;;;;;;;;;;
25/4/2026;PALERMO II; $ 8.767.689 ;;;;;;;;;;;;;;
25/4/2026;PALERMO III; $ 5.824.037 ;;;;;;;;;;;;;;
25/4/2026;PALERMO IV; $ 2.630.276 ;;;;;;;;;;;;;;
25/4/2026;PARQUE CENTENARIO; $ 2.060.267 ;;;;;;;;;;;;;;
25/4/2026;PARQUE PATRICIOS; $ 7.721.471 ;;;;;;;;;;;;;;
25/4/2026;PILAR; $ 11.619.370 ;;;;;;;;;;;;;;
25/4/2026;POMPEYA; $ 9.260.347 ;;;;;;;;;;;;;;
25/4/2026;QUILMES; $ 21.680.839 ;;;;;;;;;;;;;;
25/4/2026;RAMOS MEJIA; $ 13.441.704 ;;;;;;;;;;;;;;
25/4/2026;RAMOS MEJIA II; $ 8.410.503 ;;;;;;;;;;;;;;
25/4/2026;RAMOS MEJIA III; $ 1.637.852 ;;;;;;;;;;;;;;
25/4/2026;RECOLETA; $ 6.659.403 ;;;;;;;;;;;;;;
25/4/2026;RECOLETA II; $ 4.706.962 ;;;;;;;;;;;;;;
25/4/2026;RECOLETA III; $ 15.919.671 ;;;;;;;;;;;;;;
25/4/2026;RECOLETA IV; $ 12.370.070 ;;;;;;;;;;;;;;
25/4/2026;RECOLETA V; $ 12.544.793 ;;;;;;;;;;;;;;
25/4/2026;RETIRO; $ -   ;;;;;;;;;;;;;;
25/4/2026;RETIRO II; $ 6.151.945 ;;;;;;;;;;;;;;
25/4/2026;SALADILLO; $ 3.566.091 ;;;;;;;;;;;;;;
25/4/2026;SAN ISIDRO; $ 54.564.389 ;;;;;;;;;;;;;;
25/4/2026;SAN ISIDRO II; $ 14.126.506 ;;;;;;;;;;;;;;
25/4/2026;SAN MIGUEL; $ 8.339.516 ;;;;;;;;;;;;;;
25/4/2026;TRIBUNALES; $ -   ;;;;;;;;;;;;;;
25/4/2026;VILLA BALLESTER; $ 53.637.558 ;;;;;;;;;;;;;;
25/4/2026;VILLA BALLESTER II; $ 25.015.851 ;;;;;;;;;;;;;;
25/4/2026;VILLA CRESPO; $ 18.978.777 ;;;;;;;;;;;;;;
25/4/2026;VILLA DEL PARQUE; $ 20.284.003 ;;;;;;;;;;;;;;
25/4/2026;VILLA DEL PARQUE II; $ 23.054.849 ;;;;;;;;;;;;;;
25/4/2026;VILLA LURO; $ 11.602.479 ;;;;;;;;;;;;;;
25/4/2026;VILLA URQUIZA; $ 29.208.124 ;;;;;;;;;;;;;;
25/4/2026;VILLA URQUIZA II; $ 12.473.620 ;;;;;;;;;;;;;;
25/4/2026;VILLA URQUIZA III; $ 22.528.223 ;;;;;;;;;;;;;;
Total 25/4/2026;; $ 989.278.708 ;;;;;;;;;;;;;;
26/4/2026;BARRACAS; $ 6.995.472 ;;;;;;;;;;;;;;
26/4/2026;BECCAR; $ 17.097.925 ;;;;;;;;;;;;;;
26/4/2026;BELGRANO; $ -   ;;;;;;;;;;;;;;
26/4/2026;BELGRANO II; $ -   ;;;;;;;;;;;;;;
26/4/2026;BELGRANO III; $ -   ;;;;;;;;;;;;;;
26/4/2026;BELGRANO IV; $ -   ;;;;;;;;;;;;;;
26/4/2026;BELGRANO V; $ 14.805.330 ;;;;;;;;;;;;;;
26/4/2026;BELGRANO VI; $ 4.392.667 ;;;;;;;;;;;;;;
26/4/2026;BELGRANO VII - Danesa; $ 22.145.390 ;;;;;;;;;;;;;;
26/4/2026;BELGRANO VIII; $ -   ;;;;;;;;;;;;;;
26/4/2026;BERAZATEGUI; $ -   ;;;;;;;;;;;;;;
26/4/2026;BERAZATEGUI II; $ -   ;;;;;;;;;;;;;;
26/4/2026;Boedo; $ -   ;;;;;;;;;;;;;;
26/4/2026;CABALLITO; $ 25.837.735 ;;;;;;;;;;;;;;
26/4/2026;CABALLITO II; $ -   ;;;;;;;;;;;;;;
26/4/2026;CABALLITO III; $ -   ;;;;;;;;;;;;;;
26/4/2026;CABALLITO IV; $ 11.399.263 ;;;;;;;;;;;;;;
26/4/2026;CHACARITA; $ -   ;;;;;;;;;;;;;;
26/4/2026;DEVOTO; $ 16.850.101 ;;;;;;;;;;;;;;
26/4/2026;Devoto II; $ 12.447.759 ;;;;;;;;;;;;;;
26/4/2026;Devoto III; $ -   ;;;;;;;;;;;;;;
26/4/2026;Escobar; $ -   ;;;;;;;;;;;;;;
26/4/2026;FLORES; $ -   ;;;;;;;;;;;;;;
26/4/2026;GONZALEZ CATAN; $ 4.527.942 ;;;;;;;;;;;;;;
26/4/2026;GONZALEZ CATAN II; $ -   ;;;;;;;;;;;;;;
26/4/2026;GONZALEZ CATAN III; $ -   ;;;;;;;;;;;;;;
26/4/2026;ISDIN G. PACIFICO; $ 886.918 ;;;;;;;;;;;;;;
26/4/2026;ISDIN PALERMO; $ 720.158 ;;;;;;;;;;;;;;
26/4/2026;LAS CANITAS; $ 13.706.664 ;;;;;;;;;;;;;;
26/4/2026;LOREAL ALTO PALERMO; $ 3.075.423 ;;;;;;;;;;;;;;
26/4/2026;LOREAL G. PACIFICO; $ 1.135.876 ;;;;;;;;;;;;;;
26/4/2026;MERCEDES; $ -   ;;;;;;;;;;;;;;
26/4/2026;MICROCENTRO; $ -   ;;;;;;;;;;;;;;
26/4/2026;MICROCENTRO II; $ -   ;;;;;;;;;;;;;;
26/4/2026;MORON; $ 3.826.825 ;;;;;;;;;;;;;;
26/4/2026;NUNEZ; $ 13.331.918 ;;;;;;;;;;;;;;
26/4/2026;PADUA; $ -   ;;;;;;;;;;;;;;
26/4/2026;PALERMO; $ 5.821.662 ;;;;;;;;;;;;;;
26/4/2026;PALERMO II; $ -   ;;;;;;;;;;;;;;
26/4/2026;PALERMO III; $ -   ;;;;;;;;;;;;;;
26/4/2026;PALERMO IV; $ -   ;;;;;;;;;;;;;;
26/4/2026;PARQUE CENTENARIO; $ -   ;;;;;;;;;;;;;;
26/4/2026;PARQUE PATRICIOS; $ -   ;;;;;;;;;;;;;;
26/4/2026;PILAR; $ 7.423.828 ;;;;;;;;;;;;;;
26/4/2026;POMPEYA; $ -   ;;;;;;;;;;;;;;
26/4/2026;QUILMES; $ -   ;;;;;;;;;;;;;;
26/4/2026;RAMOS MEJIA; $ 5.725.544 ;;;;;;;;;;;;;;
26/4/2026;RAMOS MEJIA II; $ -   ;;;;;;;;;;;;;;
26/4/2026;RAMOS MEJIA III; $ -   ;;;;;;;;;;;;;;
26/4/2026;RECOLETA; $ -   ;;;;;;;;;;;;;;
26/4/2026;RECOLETA II; $ -   ;;;;;;;;;;;;;;
26/4/2026;RECOLETA III; $ 11.241.966 ;;;;;;;;;;;;;;
26/4/2026;RECOLETA IV; $ 7.385.717 ;;;;;;;;;;;;;;
26/4/2026;RECOLETA V; $ -   ;;;;;;;;;;;;;;
26/4/2026;RETIRO; $ -   ;;;;;;;;;;;;;;
26/4/2026;RETIRO II; $ -   ;;;;;;;;;;;;;;
26/4/2026;SALADILLO; $ -   ;;;;;;;;;;;;;;
26/4/2026;SAN ISIDRO; $ 42.244.676 ;;;;;;;;;;;;;;
26/4/2026;SAN ISIDRO II; $ -   ;;;;;;;;;;;;;;
26/4/2026;SAN MIGUEL; $ -   ;;;;;;;;;;;;;;
26/4/2026;TRIBUNALES; $ -   ;;;;;;;;;;;;;;
26/4/2026;VILLA BALLESTER; $ 37.697.124 ;;;;;;;;;;;;;;
26/4/2026;VILLA BALLESTER II; $ -   ;;;;;;;;;;;;;;
26/4/2026;VILLA CRESPO; $ 9.124.843 ;;;;;;;;;;;;;;
26/4/2026;VILLA DEL PARQUE; $ -   ;;;;;;;;;;;;;;
26/4/2026;VILLA DEL PARQUE II; $ 9.797.280 ;;;;;;;;;;;;;;
26/4/2026;VILLA LURO; $ -   ;;;;;;;;;;;;;;
26/4/2026;VILLA URQUIZA; $ 12.544.381 ;;;;;;;;;;;;;;
26/4/2026;VILLA URQUIZA II; $ 5.671.658 ;;;;;;;;;;;;;;
26/4/2026;VILLA URQUIZA III; $ 10.289.600 ;;;;;;;;;;;;;;
Total 26/4/2026;; $ 338.151.644 ;;;;;;;;;;;;;;
27/4/2026;BARRACAS; $ 15.014.337 ;;;;;;;;;;;;;;
27/4/2026;BECCAR; $ 32.398.586 ;;;;;;;;;;;;;;
27/4/2026;BELGRANO; $ 18.203.885 ;;;;;;;;;;;;;;
27/4/2026;BELGRANO II; $ 20.237.229 ;;;;;;;;;;;;;;
27/4/2026;BELGRANO III; $ 14.151.449 ;;;;;;;;;;;;;;
27/4/2026;BELGRANO IV; $ 14.219.237 ;;;;;;;;;;;;;;
27/4/2026;BELGRANO V; $ 23.432.254 ;;;;;;;;;;;;;;
27/4/2026;BELGRANO VI; $ 12.753.341 ;;;;;;;;;;;;;;
27/4/2026;BELGRANO VII - Danesa; $ 60.081.119 ;;;;;;;;;;;;;;
27/4/2026;BELGRANO VIII; $ 14.965.306 ;;;;;;;;;;;;;;
27/4/2026;BERAZATEGUI; $ 60.470.835 ;;;;;;;;;;;;;;
27/4/2026;BERAZATEGUI II; $ 23.460.719 ;;;;;;;;;;;;;;
27/4/2026;Boedo; $ 5.593.528 ;;;;;;;;;;;;;;
27/4/2026;CABALLITO; $ 50.716.129 ;;;;;;;;;;;;;;
27/4/2026;CABALLITO II; $ 18.138.167 ;;;;;;;;;;;;;;
27/4/2026;CABALLITO III; $ 21.260.625 ;;;;;;;;;;;;;;
27/4/2026;CABALLITO IV; $ 23.188.740 ;;;;;;;;;;;;;;
27/4/2026;CHACARITA; $ 6.557.342 ;;;;;;;;;;;;;;
27/4/2026;DEVOTO; $ 32.590.146 ;;;;;;;;;;;;;;
27/4/2026;Devoto II; $ 19.606.242 ;;;;;;;;;;;;;;
27/4/2026;Devoto III; $ 3.440.171 ;;;;;;;;;;;;;;
27/4/2026;Escobar; $ 3.998.474 ;;;;;;;;;;;;;;
27/4/2026;FLORES; $ 35.266.051 ;;;;;;;;;;;;;;
27/4/2026;GONZALEZ CATAN; $ 30.310.235 ;;;;;;;;;;;;;;
27/4/2026;GONZALEZ CATAN II; $ 13.039.590 ;;;;;;;;;;;;;;
27/4/2026;GONZALEZ CATAN III; $ 4.021.421 ;;;;;;;;;;;;;;
27/4/2026;ISDIN G. PACIFICO; $ 666.372 ;;;;;;;;;;;;;;
27/4/2026;ISDIN PALERMO; $ 675.127 ;;;;;;;;;;;;;;
27/4/2026;LAS CANITAS; $ 23.429.633 ;;;;;;;;;;;;;;
27/4/2026;LOREAL ALTO PALERMO; $ 2.706.021 ;;;;;;;;;;;;;;
27/4/2026;LOREAL G. PACIFICO; $ 1.201.158 ;;;;;;;;;;;;;;
27/4/2026;MERCEDES; $ 8.473.991 ;;;;;;;;;;;;;;
27/4/2026;MICROCENTRO; $ 20.503.033 ;;;;;;;;;;;;;;
27/4/2026;MICROCENTRO II; $ 22.152.800 ;;;;;;;;;;;;;;
27/4/2026;MORON; $ 24.167.304 ;;;;;;;;;;;;;;
27/4/2026;NUNEZ; $ 27.218.146 ;;;;;;;;;;;;;;
27/4/2026;PADUA; $ 8.733.356 ;;;;;;;;;;;;;;
27/4/2026;PALERMO; $ 12.978.840 ;;;;;;;;;;;;;;
27/4/2026;PALERMO II; $ 10.973.037 ;;;;;;;;;;;;;;
27/4/2026;PALERMO III; $ 8.637.881 ;;;;;;;;;;;;;;
27/4/2026;PALERMO IV; $ 3.702.918 ;;;;;;;;;;;;;;
27/4/2026;PARQUE CENTENARIO; $ 5.459.073 ;;;;;;;;;;;;;;
27/4/2026;PARQUE PATRICIOS; $ 11.009.464 ;;;;;;;;;;;;;;
27/4/2026;PILAR; $ 10.513.704 ;;;;;;;;;;;;;;
27/4/2026;POMPEYA; $ 11.247.714 ;;;;;;;;;;;;;;
27/4/2026;QUILMES; $ 29.927.619 ;;;;;;;;;;;;;;
27/4/2026;RAMOS MEJIA; $ 21.923.972 ;;;;;;;;;;;;;;
27/4/2026;RAMOS MEJIA II; $ 14.158.183 ;;;;;;;;;;;;;;
27/4/2026;RAMOS MEJIA III; $ 2.047.872 ;;;;;;;;;;;;;;
27/4/2026;RECOLETA; $ 10.078.334 ;;;;;;;;;;;;;;
27/4/2026;RECOLETA II; $ 13.298.112 ;;;;;;;;;;;;;;
27/4/2026;RECOLETA III; $ 29.104.129 ;;;;;;;;;;;;;;
27/4/2026;RECOLETA IV; $ 23.070.930 ;;;;;;;;;;;;;;
27/4/2026;RECOLETA V; $ 22.272.188 ;;;;;;;;;;;;;;
27/4/2026;RETIRO; $ 12.615.429 ;;;;;;;;;;;;;;
27/4/2026;RETIRO II; $ 12.514.666 ;;;;;;;;;;;;;;
27/4/2026;SALADILLO; $ 4.480.451 ;;;;;;;;;;;;;;
27/4/2026;SAN ISIDRO; $ 77.288.095 ;;;;;;;;;;;;;;
27/4/2026;SAN ISIDRO II; $ 18.482.210 ;;;;;;;;;;;;;;
27/4/2026;SAN MIGUEL; $ 10.747.367 ;;;;;;;;;;;;;;
27/4/2026;TRIBUNALES; $ 22.516.626 ;;;;;;;;;;;;;;
27/4/2026;VILLA BALLESTER; $ 63.519.846 ;;;;;;;;;;;;;;
27/4/2026;VILLA BALLESTER II; $ 32.047.691 ;;;;;;;;;;;;;;
27/4/2026;VILLA CRESPO; $ 21.827.186 ;;;;;;;;;;;;;;
27/4/2026;VILLA DEL PARQUE; $ 24.618.628 ;;;;;;;;;;;;;;
27/4/2026;VILLA DEL PARQUE II; $ 25.492.749 ;;;;;;;;;;;;;;
27/4/2026;VILLA LURO; $ 13.723.453 ;;;;;;;;;;;;;;
27/4/2026;VILLA URQUIZA; $ 33.581.789 ;;;;;;;;;;;;;;
27/4/2026;VILLA URQUIZA II; $ 16.564.817 ;;;;;;;;;;;;;;
27/4/2026;VILLA URQUIZA III; $ 24.886.269 ;;;;;;;;;;;;;;
Total 27/4/2026;; $ 1.372.353.340 ;;;;;;;;;;;;;;
28/4/2026;BARRACAS; $ 15.136.836 ;;;;;;;;;;;;;;
28/4/2026;BECCAR; $ 31.687.603 ;;;;;;;;;;;;;;
28/4/2026;BELGRANO; $ 18.309.372 ;;;;;;;;;;;;;;
28/4/2026;BELGRANO II; $ 19.461.587 ;;;;;;;;;;;;;;
28/4/2026;BELGRANO III; $ 12.204.854 ;;;;;;;;;;;;;;
28/4/2026;BELGRANO IV; $ 14.009.840 ;;;;;;;;;;;;;;
28/4/2026;BELGRANO V; $ 21.553.969 ;;;;;;;;;;;;;;
28/4/2026;BELGRANO VI; $ 12.344.591 ;;;;;;;;;;;;;;
28/4/2026;BELGRANO VII - Danesa; $ 57.271.955 ;;;;;;;;;;;;;;
28/4/2026;BELGRANO VIII; $ 13.271.571 ;;;;;;;;;;;;;;
28/4/2026;BERAZATEGUI; $ 53.288.846 ;;;;;;;;;;;;;;
28/4/2026;BERAZATEGUI II; $ 20.983.514 ;;;;;;;;;;;;;;
28/4/2026;Boedo; $ 5.272.818 ;;;;;;;;;;;;;;
28/4/2026;CABALLITO; $ 48.917.390 ;;;;;;;;;;;;;;
28/4/2026;CABALLITO II; $ 16.650.323 ;;;;;;;;;;;;;;
28/4/2026;CABALLITO III; $ 20.138.697 ;;;;;;;;;;;;;;
28/4/2026;CABALLITO IV; $ 22.702.429 ;;;;;;;;;;;;;;
28/4/2026;CHACARITA; $ 5.809.563 ;;;;;;;;;;;;;;
28/4/2026;DEVOTO; $ 31.302.153 ;;;;;;;;;;;;;;
28/4/2026;Devoto II; $ 18.914.015 ;;;;;;;;;;;;;;
28/4/2026;Devoto III; $ 3.242.925 ;;;;;;;;;;;;;;
28/4/2026;Escobar; $ 3.769.218 ;;;;;;;;;;;;;;
28/4/2026;FLORES; $ 30.275.580 ;;;;;;;;;;;;;;
28/4/2026;GONZALEZ CATAN; $ 28.210.243 ;;;;;;;;;;;;;;
28/4/2026;GONZALEZ CATAN II; $ 12.862.006 ;;;;;;;;;;;;;;
28/4/2026;GONZALEZ CATAN III; $ 3.620.529 ;;;;;;;;;;;;;;
28/4/2026;ISDIN G. PACIFICO; $ 656.218 ;;;;;;;;;;;;;;
28/4/2026;ISDIN PALERMO; $ 852.558 ;;;;;;;;;;;;;;
28/4/2026;LAS CANITAS; $ 22.691.804 ;;;;;;;;;;;;;;
28/4/2026;LOREAL ALTO PALERMO; $ 3.446.117 ;;;;;;;;;;;;;;
28/4/2026;LOREAL G. PACIFICO; $ 1.621.097 ;;;;;;;;;;;;;;
28/4/2026;MERCEDES; $ 9.121.057 ;;;;;;;;;;;;;;
28/4/2026;MICROCENTRO; $ 19.323.512 ;;;;;;;;;;;;;;
28/4/2026;MICROCENTRO II; $ 23.378.644 ;;;;;;;;;;;;;;
28/4/2026;MORON; $ 25.441.418 ;;;;;;;;;;;;;;
28/4/2026;NUNEZ; $ 25.439.660 ;;;;;;;;;;;;;;
28/4/2026;PADUA; $ 7.282.711 ;;;;;;;;;;;;;;
28/4/2026;PALERMO; $ 12.345.863 ;;;;;;;;;;;;;;
28/4/2026;PALERMO II; $ 10.407.989 ;;;;;;;;;;;;;;
28/4/2026;PALERMO III; $ 7.992.194 ;;;;;;;;;;;;;;
28/4/2026;PALERMO IV; $ 3.490.608 ;;;;;;;;;;;;;;
28/4/2026;PARQUE CENTENARIO; $ 5.469.965 ;;;;;;;;;;;;;;
28/4/2026;PARQUE PATRICIOS; $ 9.044.850 ;;;;;;;;;;;;;;
28/4/2026;PILAR; $ 10.435.391 ;;;;;;;;;;;;;;
28/4/2026;POMPEYA; $ 10.588.580 ;;;;;;;;;;;;;;
28/4/2026;QUILMES; $ 28.026.512 ;;;;;;;;;;;;;;
28/4/2026;RAMOS MEJIA; $ 20.689.362 ;;;;;;;;;;;;;;
28/4/2026;RAMOS MEJIA II; $ 16.041.032 ;;;;;;;;;;;;;;
28/4/2026;RAMOS MEJIA III; $ 1.892.582 ;;;;;;;;;;;;;;
28/4/2026;RECOLETA; $ 9.577.148 ;;;;;;;;;;;;;;
28/4/2026;RECOLETA II; $ 11.389.637 ;;;;;;;;;;;;;;
28/4/2026;RECOLETA III; $ 28.027.864 ;;;;;;;;;;;;;;
28/4/2026;RECOLETA IV; $ 22.092.807 ;;;;;;;;;;;;;;
28/4/2026;RECOLETA V; $ 20.543.928 ;;;;;;;;;;;;;;
28/4/2026;RETIRO; $ 11.749.777 ;;;;;;;;;;;;;;
28/4/2026;RETIRO II; $ 11.322.129 ;;;;;;;;;;;;;;
28/4/2026;SALADILLO; $ 5.419.155 ;;;;;;;;;;;;;;
28/4/2026;SAN ISIDRO; $ 73.885.157 ;;;;;;;;;;;;;;
28/4/2026;SAN ISIDRO II; $ 17.276.364 ;;;;;;;;;;;;;;
28/4/2026;SAN MIGUEL; $ 9.514.386 ;;;;;;;;;;;;;;
28/4/2026;TRIBUNALES; $ 23.783.727 ;;;;;;;;;;;;;;
28/4/2026;VILLA BALLESTER; $ 62.069.360 ;;;;;;;;;;;;;;
28/4/2026;VILLA BALLESTER II; $ 30.257.286 ;;;;;;;;;;;;;;
28/4/2026;VILLA CRESPO; $ 21.339.932 ;;;;;;;;;;;;;;
28/4/2026;VILLA DEL PARQUE; $ 23.535.517 ;;;;;;;;;;;;;;
28/4/2026;VILLA DEL PARQUE II; $ 23.301.955 ;;;;;;;;;;;;;;
28/4/2026;VILLA LURO; $ 13.371.447 ;;;;;;;;;;;;;;
28/4/2026;VILLA URQUIZA; $ 31.816.914 ;;;;;;;;;;;;;;
28/4/2026;VILLA URQUIZA II; $ 15.787.154 ;;;;;;;;;;;;;;
28/4/2026;VILLA URQUIZA III; $ 23.549.581 ;;;;;;;;;;;;;;
Total 28/4/2026;; $ 1.306.503.379 ;;;;;;;;;;;;;;
29/4/2026;BARRACAS; $ 14.525.646 ;;;;;;;;;;;;;;
29/4/2026;BECCAR; $ 31.931.770 ;;;;;;;;;;;;;;
29/4/2026;BELGRANO; $ 18.861.175 ;;;;;;;;;;;;;;
29/4/2026;BELGRANO II; $ 19.204.245 ;;;;;;;;;;;;;;
29/4/2026;BELGRANO III; $ 13.104.398 ;;;;;;;;;;;;;;
29/4/2026;BELGRANO IV; $ 13.165.900 ;;;;;;;;;;;;;;
29/4/2026;BELGRANO V; $ 25.134.993 ;;;;;;;;;;;;;;
29/4/2026;BELGRANO VI; $ 12.332.091 ;;;;;;;;;;;;;;
29/4/2026;BELGRANO VII - Danesa; $ 58.641.230 ;;;;;;;;;;;;;;
29/4/2026;BELGRANO VIII; $ 14.235.993 ;;;;;;;;;;;;;;
29/4/2026;BERAZATEGUI; $ 52.530.078 ;;;;;;;;;;;;;;
29/4/2026;BERAZATEGUI II; $ 21.528.450 ;;;;;;;;;;;;;;
29/4/2026;Boedo; $ 5.397.178 ;;;;;;;;;;;;;;
29/4/2026;CABALLITO; $ 49.965.359 ;;;;;;;;;;;;;;
29/4/2026;CABALLITO II; $ 17.243.499 ;;;;;;;;;;;;;;
29/4/2026;CABALLITO III; $ 20.311.982 ;;;;;;;;;;;;;;
29/4/2026;CABALLITO IV; $ 22.376.881 ;;;;;;;;;;;;;;
29/4/2026;CHACARITA; $ 6.592.417 ;;;;;;;;;;;;;;
29/4/2026;DEVOTO; $ 31.845.284 ;;;;;;;;;;;;;;
29/4/2026;Devoto II; $ 21.537.691 ;;;;;;;;;;;;;;
29/4/2026;Devoto III; $ 3.319.410 ;;;;;;;;;;;;;;
29/4/2026;Escobar; $ 3.858.116 ;;;;;;;;;;;;;;
29/4/2026;FLORES; $ 32.344.340 ;;;;;;;;;;;;;;
29/4/2026;GONZALEZ CATAN; $ 28.990.410 ;;;;;;;;;;;;;;
29/4/2026;GONZALEZ CATAN II; $ 12.366.341 ;;;;;;;;;;;;;;
29/4/2026;GONZALEZ CATAN III; $ 4.199.229 ;;;;;;;;;;;;;;
29/4/2026;ISDIN G. PACIFICO; $ 661.889 ;;;;;;;;;;;;;;
29/4/2026;ISDIN PALERMO; $ 1.000.154 ;;;;;;;;;;;;;;
29/4/2026;LAS CANITAS; $ 23.800.172 ;;;;;;;;;;;;;;
29/4/2026;LOREAL ALTO PALERMO; $ 2.874.661 ;;;;;;;;;;;;;;
29/4/2026;LOREAL G. PACIFICO; $ 853.127 ;;;;;;;;;;;;;;
29/4/2026;MERCEDES; $ 9.315.067 ;;;;;;;;;;;;;;
29/4/2026;MICROCENTRO; $ 19.702.598 ;;;;;;;;;;;;;;
29/4/2026;MICROCENTRO II; $ 23.316.982 ;;;;;;;;;;;;;;
29/4/2026;MORON; $ 24.644.414 ;;;;;;;;;;;;;;
29/4/2026;NUNEZ; $ 27.827.794 ;;;;;;;;;;;;;;
29/4/2026;PADUA; $ 8.541.295 ;;;;;;;;;;;;;;
29/4/2026;PALERMO; $ 12.459.303 ;;;;;;;;;;;;;;
29/4/2026;PALERMO II; $ 10.890.325 ;;;;;;;;;;;;;;
29/4/2026;PALERMO III; $ 8.365.909 ;;;;;;;;;;;;;;
29/4/2026;PALERMO IV; $ 3.572.935 ;;;;;;;;;;;;;;
29/4/2026;PARQUE CENTENARIO; $ 5.449.674 ;;;;;;;;;;;;;;
29/4/2026;PARQUE PATRICIOS; $ 9.130.312 ;;;;;;;;;;;;;;
29/4/2026;PILAR; $ 10.205.678 ;;;;;;;;;;;;;;
29/4/2026;POMPEYA; $ 10.573.488 ;;;;;;;;;;;;;;
29/4/2026;QUILMES; $ 28.324.733 ;;;;;;;;;;;;;;
29/4/2026;RAMOS MEJIA; $ 22.796.659 ;;;;;;;;;;;;;;
29/4/2026;RAMOS MEJIA II; $ 15.028.029 ;;;;;;;;;;;;;;
29/4/2026;RAMOS MEJIA III; $ 2.185.858 ;;;;;;;;;;;;;;
29/4/2026;RECOLETA; $ 9.555.226 ;;;;;;;;;;;;;;
29/4/2026;RECOLETA II; $ 12.450.966 ;;;;;;;;;;;;;;
29/4/2026;RECOLETA III; $ 28.146.433 ;;;;;;;;;;;;;;
29/4/2026;RECOLETA IV; $ 23.294.979 ;;;;;;;;;;;;;;
29/4/2026;RECOLETA V; $ 20.653.548 ;;;;;;;;;;;;;;
29/4/2026;RETIRO; $ 12.111.917 ;;;;;;;;;;;;;;
29/4/2026;RETIRO II; $ 12.301.564 ;;;;;;;;;;;;;;
29/4/2026;SALADILLO; $ 5.069.872 ;;;;;;;;;;;;;;
29/4/2026;SAN ISIDRO; $ 80.456.619 ;;;;;;;;;;;;;;
29/4/2026;SAN ISIDRO II; $ 18.294.597 ;;;;;;;;;;;;;;
29/4/2026;SAN MIGUEL; $ 9.078.023 ;;;;;;;;;;;;;;
29/4/2026;TRIBUNALES; $ 23.283.490 ;;;;;;;;;;;;;;
29/4/2026;VILLA BALLESTER; $ 60.308.816 ;;;;;;;;;;;;;;
29/4/2026;VILLA BALLESTER II; $ 29.607.488 ;;;;;;;;;;;;;;
