BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
4/4/2026;PADUA; $ 7.151.993 ;;;;;;;;;;;;;;
4/4/2026;PALERMO; $ 7.880.222 ;;;;;;;;;;;;;;
4/4/2026;PALERMO II; $ 8.460.471 ;;;;;;;;;;;;;;
4/4/2026;PALERMO III; $ 6.395.698 ;;;;;;;;;;;;;;
4/4/2026;PALERMO IV; $ 2.546.430 ;;;;;;;;;;;;;;
4/4/2026;PARQUE CENTENARIO; $ 2.698.471 ;;;;;;;;;;;;;;
4/4/2026;PARQUE PATRICIOS; $ 7.442.631 ;;;;;;;;;;;;;;
4/4/2026;PILAR; $ 11.068.958 ;;;;;;;;;;;;;;
4/4/2026;POMPEYA; $ 8.792.863 ;;;;;;;;;;;;;;
4/4/2026;QUILMES; $ 20.846.415 ;;;;;;;;;;;;;;
4/4/2026;RAMOS MEJIA; $ 12.797.872 ;;;;;;;;;;;;;;
4/4/2026;RAMOS MEJIA II; $ 9.418.485 ;;;;;;;;;;;;;;
4/4/2026;RAMOS MEJIA III; $ 2.072.309 ;;;;;;;;;;;;;;
4/4/2026;RECOLETA; $ 7.432.842 ;;;;;;;;;;;;;;
4/4/2026;RECOLETA II; $ 5.372.156 ;;;;;;;;;;;;;;
4/4/2026;RECOLETA III; $ 15.197.653 ;;;;;;;;;;;;;;
4/4/2026;RECOLETA IV; $ 12.089.654 ;;;;;;;;;;;;;;
4/4/2026;RECOLETA V; $ 13.816.296 ;;;;;;;;;;;;;;
4/4/2026;RETIRO; $ -   ;;;;;;;;;;;;;;
4/4/2026;RETIRO II; $ 5.994.923 ;;;;;;;;;;;;;;
4/4/2026;SALADILLO; $ 4.645.528 ;;;;;;;;;;;;;;
4/4/2026;SAN ISIDRO; $ 51.352.823 ;;;;;;;;;;;;;;
4/4/2026;SAN ISIDRO II; $ 15.674.887 ;;;;;;;;;;;;;;
4/4/2026;SAN MIGUEL; $ 9.198.239 ;;;;;;;;;;;;;;
4/4/2026;TRIBUNALES; $ -   ;;;;;;;;;;;;;;
4/4/2026;VILLA BALLESTER; $ 51.137.621 ;;;;;;;;;;;;;;
4/4/2026;VILLA BALLESTER II; $ 23.754.470 ;;;;;;;;;;;;;;
4/4/2026;VILLA CRESPO; $ 18.560.472 ;;;;;;;;;;;;;;
4/4/2026;VILLA DEL PARQUE; $ 19.439.386 ;;;;;;;;;;;;;;
4/4/2026;VILLA DEL PARQUE II; $ 22.042.293 ;;;;;;;;;;;;;;
4/4/2026;VILLA LURO; $ 12.670.714 ;;;;;;;;;;;;;;
4/4/2026;VILLA URQUIZA; $ 28.116.159 ;;;;;;;;;;;;;;
4/4/2026;VILLA URQUIZA II; $ 12.061.974 ;;;;;;;;;;;;;;
4/4/2026;VILLA URQUIZA III; $ 22.013.457 ;;;;;;;;;;;;;;
Total 4/4/2026;; $ 981.843.103 ;;;;;;;;;;;;;;
5/4/2026;BARRACAS; $ 6.816.523 ;;;;;;;;;;;;;;
5/4/2026;BECCAR; $ 16.590.660 ;;;;;;;;;;;;;;
5/4/2026;BELGRANO; $ -   ;;;;;;;;;;;;;;
5/4/2026;BELGRANO II; $ -   ;;;;;;;;;;;;;;
5/4/2026;BELGRANO III; $ -   ;;;;;;;;;;;;;;
5/4/2026;BELGRANO IV; $ -   ;;;;;;;;;;;;;;
5/4/2026;BELGRANO V; $ 14.294.454 ;;;;;;;;;;;;;;
5/4/2026;BELGRANO VI; $ 4.354.227 ;;;;;;;;;;;;;;
5/4/2026;BELGRANO VII - Danesa; $ 21.417.071 ;;;;;;;;;;;;;;
5/4/2026;BELGRANO VIII; $ -   ;;;;;;;;;;;;;;
5/4/2026;BERAZATEGUI; $ -   ;;;;;;;;;;;;;;
5/4/2026;BERAZATEGUI II; $ -   ;;;;;;;;;;;;;;
5/4/2026;Boedo; $ -   ;;;;;;;;;;;;;;
5/4/2026;CABALLITO; $ 24.759.361 ;;;;;;;;;;;;;;
5/4/2026;CABALLITO II; $ -   ;;;;;;;;;;;;;;
5/4/2026;CABALLITO III; $ -   ;;;;;;;;;;;;;;
5/4/2026;CABALLITO IV; $ 10.890.204 ;;;;;;;;;;;;;;
5/4/2026;CHACARITA; $ -   ;;;;;;;;;;;;;;
5/4/2026;DEVOTO; $ 15.866.188 ;;;;;;;;;;;;;;
5/4/2026;Devoto II; $ 12.137.665 ;;;;;;;;;;;;;;
5/4/2026;Devoto III; $ -   ;;;;;;;;;;;;;;
5/4/2026;Escobar; $ -   ;;;;;;;;;;;;;;
5/4/2026;FLORES; $ -   ;;;;;;;;;;;;;;
